id;new_poste;Y1A_genre;A4_secteur;A5_teleravail;A6_experience
7;Data Analyst;Une femme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;23
9;Data Scientist;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);15
10;Data Scientist;NA;Administration;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;0
11;Data Analyst;Un homme;Autre;Présentiel complet (pas ou quasiment pas de travail à distance);1
16;Data Analyst;NA;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;9
18;Data Analyst;Un homme;Enseignement / recherche;Présentiel complet (pas ou quasiment pas de travail à distance);9
19;Data Scientist;Une femme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
20;Data Analyst;NA;Marketing;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
21;Data Analyst;Un homme;Administration;Présentiel complet (pas ou quasiment pas de travail à distance);2
22;Data Scientist;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
24;Data Analyst;Une femme;Marketing;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
25;Data Scientist;NA;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
26;Data Engineer;NA;Prestation de services informatiques / statistiques;NA;NA
29;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;7
31;Data Scientist;Un homme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);10
39;Data Analyst;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);7
41;Data Analyst;Un homme;Transport;Hybride avec en moyenne un ou deux jours de télétravail / semaine;13
42;Data Analyst;Un homme;Banques / assurances / finances;Présentiel complet (pas ou quasiment pas de travail à distance);0
43;Data Scientist;Une femme;Santé;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;22
44;Data Scientist;NA;Numérique / Web;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;6
46;Data Analyst;Une femme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
47;Data Analyst;NA;Administration;Présentiel complet (pas ou quasiment pas de travail à distance);30
50;Data Analyst;Un homme;Administration;Présentiel complet (pas ou quasiment pas de travail à distance);0
51;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;5
52;Data Analyst;Une femme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;15
54;Data Analyst;Une femme;Industrie;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
56;Data Analyst;Une femme;Transport;Présentiel complet (pas ou quasiment pas de travail à distance);2
57;Data Engineer;NA;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);3
58;Data Analyst;Une femme;Prestation de services informatiques / statistiques;Distanciel complet (pas de travail sur site);13
59;Data Engineer;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;2
60;Data Scientist;Un homme;Santé;Mon activité est trop spécifique pour distinguer télétravail et présentiel;17
61;Data Scientist;NA;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;NA
62;Data Scientist;NA;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;2
63;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;18
65;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne un ou deux jours de télétravail / semaine;6
66;Data Analyst;Un homme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
67;Data Analyst;Un homme;Enseignement / recherche;Hybride avec en moyenne un ou deux jours de télétravail / semaine;10
69;Data Analyst;Un homme;Autre;Hybride avec en moyenne un ou deux jours de télétravail / semaine;9
70;Data Analyst;Un homme;Enseignement / recherche;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
73;Data Analyst;NA;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;NA
74;Data Analyst;Un homme;Banques / assurances / finances;Hybride avec en moyenne trois ou quatre jours de télétravail / semaine;9
75;Data Engineer;Un homme;Santé;Hybride avec en moyenne un ou deux jours de télétravail / semaine;4
76;Data Analyst;Une femme;Administration;Hybride avec en moyenne un ou deux jours de télétravail / semaine;1
77;Data Analyst;Un homme;Enseignement / recherche;Hybride avec en moyenne un ou deux jours de télétravail / semaine;3
