id;new_poste;Y1A_genre;Outil;Frequence
7;Data Analyst;Une femme;python;Jamais
7;Data Analyst;Une femme;r;Jamais
7;Data Analyst;Une femme;sas;Régulièrement
7;Data Analyst;Une femme;powerBI;Occasionnellement
7;Data Analyst;Une femme;tableau;Jamais
7;Data Analyst;Une femme;qlik;Jamais
7;Data Analyst;Une femme;excel;Régulièrement
7;Data Analyst;Une femme;sql;Régulièrement
7;Data Analyst;Une femme;spark;Jamais
7;Data Analyst;Une femme;spss;Jamais
7;Data Analyst;Une femme;c_java;Jamais
7;Data Analyst;Une femme;datastudio;Jamais
7;Data Analyst;Une femme;matlab;Jamais
9;Data Scientist;Un homme;python;Régulièrement
9;Data Scientist;Un homme;r;Régulièrement
9;Data Scientist;Un homme;sas;Jamais
9;Data Scientist;Un homme;powerBI;Jamais
9;Data Scientist;Un homme;tableau;Jamais
9;Data Scientist;Un homme;qlik;Jamais
9;Data Scientist;Un homme;excel;Régulièrement
9;Data Scientist;Un homme;sql;Occasionnellement
9;Data Scientist;Un homme;spark;Jamais
9;Data Scientist;Un homme;spss;Jamais
9;Data Scientist;Un homme;c_java;Jamais
9;Data Scientist;Un homme;datastudio;Jamais
9;Data Scientist;Un homme;matlab;Jamais
10;Data Scientist;NA;python;Jamais
10;Data Scientist;NA;r;Jamais
10;Data Scientist;NA;sas;Jamais
10;Data Scientist;NA;powerBI;Jamais
10;Data Scientist;NA;tableau;Jamais
10;Data Scientist;NA;qlik;Jamais
10;Data Scientist;NA;excel;Jamais
10;Data Scientist;NA;sql;Jamais
10;Data Scientist;NA;spark;Jamais
10;Data Scientist;NA;spss;Jamais
10;Data Scientist;NA;c_java;Jamais
10;Data Scientist;NA;datastudio;Jamais
10;Data Scientist;NA;matlab;Jamais
11;Data Analyst;Un homme;python;Jamais
11;Data Analyst;Un homme;r;Jamais
11;Data Analyst;Un homme;sas;Jamais
11;Data Analyst;Un homme;powerBI;Jamais
11;Data Analyst;Un homme;tableau;Jamais
11;Data Analyst;Un homme;qlik;Jamais
11;Data Analyst;Un homme;excel;Régulièrement
11;Data Analyst;Un homme;sql;Jamais
11;Data Analyst;Un homme;spark;Jamais
11;Data Analyst;Un homme;spss;Jamais
11;Data Analyst;Un homme;c_java;Jamais
11;Data Analyst;Un homme;datastudio;Jamais
11;Data Analyst;Un homme;matlab;Jamais
16;Data Analyst;NA;python;Jamais
16;Data Analyst;NA;r;Jamais
16;Data Analyst;NA;sas;Jamais
16;Data Analyst;NA;powerBI;Jamais
16;Data Analyst;NA;tableau;Régulièrement
16;Data Analyst;NA;qlik;Jamais
16;Data Analyst;NA;excel;Jamais
16;Data Analyst;NA;sql;Jamais
16;Data Analyst;NA;spark;Jamais
16;Data Analyst;NA;spss;Jamais
16;Data Analyst;NA;c_java;Jamais
16;Data Analyst;NA;datastudio;Jamais
16;Data Analyst;NA;matlab;Jamais
18;Data Analyst;Un homme;python;Jamais
18;Data Analyst;Un homme;r;Occasionnellement
18;Data Analyst;Un homme;sas;Jamais
18;Data Analyst;Un homme;powerBI;Jamais
18;Data Analyst;Un homme;tableau;Jamais
18;Data Analyst;Un homme;qlik;Jamais
18;Data Analyst;Un homme;excel;Régulièrement
18;Data Analyst;Un homme;sql;Jamais
18;Data Analyst;Un homme;spark;Jamais
18;Data Analyst;Un homme;spss;Occasionnellement
18;Data Analyst;Un homme;c_java;Jamais
18;Data Analyst;Un homme;datastudio;Jamais
18;Data Analyst;Un homme;matlab;Jamais
19;Data Scientist;Une femme;python;Régulièrement
19;Data Scientist;Une femme;r;Jamais
19;Data Scientist;Une femme;sas;Jamais
19;Data Scientist;Une femme;powerBI;Jamais
19;Data Scientist;Une femme;tableau;Occasionnellement
19;Data Scientist;Une femme;qlik;Jamais
19;Data Scientist;Une femme;excel;Occasionnellement
19;Data Scientist;Une femme;sql;Occasionnellement
19;Data Scientist;Une femme;spark;Jamais
19;Data Scientist;Une femme;spss;Jamais
19;Data Scientist;Une femme;c_java;Jamais
19;Data Scientist;Une femme;datastudio;Jamais
19;Data Scientist;Une femme;matlab;Jamais
20;Data Analyst;NA;python;Occasionnellement
20;Data Analyst;NA;r;Jamais
20;Data Analyst;NA;sas;Jamais
20;Data Analyst;NA;powerBI;Occasionnellement
20;Data Analyst;NA;tableau;Jamais
20;Data Analyst;NA;qlik;Jamais
20;Data Analyst;NA;excel;Régulièrement
20;Data Analyst;NA;sql;Régulièrement
20;Data Analyst;NA;spark;Jamais
20;Data Analyst;NA;spss;Jamais
20;Data Analyst;NA;c_java;Jamais
20;Data Analyst;NA;datastudio;Occasionnellement
20;Data Analyst;NA;matlab;Jamais
21;Data Analyst;Un homme;python;Occasionnellement
21;Data Analyst;Un homme;r;Régulièrement
21;Data Analyst;Un homme;sas;Jamais
21;Data Analyst;Un homme;powerBI;Régulièrement
21;Data Analyst;Un homme;tableau;Jamais
21;Data Analyst;Un homme;qlik;Jamais
21;Data Analyst;Un homme;excel;Régulièrement
21;Data Analyst;Un homme;sql;Jamais
21;Data Analyst;Un homme;spark;Jamais
21;Data Analyst;Un homme;spss;Jamais
21;Data Analyst;Un homme;c_java;Jamais
21;Data Analyst;Un homme;datastudio;Jamais
21;Data Analyst;Un homme;matlab;Jamais
22;Data Scientist;Une femme;python;Occasionnellement
22;Data Scientist;Une femme;r;Régulièrement
22;Data Scientist;Une femme;sas;Jamais
22;Data Scientist;Une femme;powerBI;Jamais
22;Data Scientist;Une femme;tableau;Jamais
22;Data Scientist;Une femme;qlik;Jamais
22;Data Scientist;Une femme;excel;Occasionnellement
22;Data Scientist;Une femme;sql;Jamais
22;Data Scientist;Une femme;spark;Jamais
22;Data Scientist;Une femme;spss;Jamais
22;Data Scientist;Une femme;c_java;Jamais
22;Data Scientist;Une femme;datastudio;Jamais
22;Data Scientist;Une femme;matlab;Jamais
24;Data Analyst;Une femme;python;Occasionnellement
24;Data Analyst;Une femme;r;Jamais
24;Data Analyst;Une femme;sas;Jamais
24;Data Analyst;Une femme;powerBI;Jamais
24;Data Analyst;Une femme;tableau;Occasionnellement
24;Data Analyst;Une femme;qlik;Jamais
24;Data Analyst;Une femme;excel;Occasionnellement
24;Data Analyst;Une femme;sql;Régulièrement
24;Data Analyst;Une femme;spark;Jamais
24;Data Analyst;Une femme;spss;Jamais
24;Data Analyst;Une femme;c_java;Jamais
24;Data Analyst;Une femme;datastudio;Jamais
24;Data Analyst;Une femme;matlab;Jamais
25;Data Scientist;NA;python;Régulièrement
25;Data Scientist;NA;r;Jamais
25;Data Scientist;NA;sas;Jamais
25;Data Scientist;NA;powerBI;Jamais
25;Data Scientist;NA;tableau;Jamais
